Neighborhood,density
Agincourt North,"3,929"
Agincourt South-Malvern West,"3,034"
Alderwood,"2,435"
Annex,"10,863"
Don Mills South,"2,775"
Bathurst Manor,"3,377"
Bay Street Corridor,"14,097"
Bayview Village,"4,195"
Bayview Woods-Steeles,"3,240"
Bedford Park-Nortown,"4,209"
Beechborough-Greenbrook,"3,614"
Bendale,"4,011"
Birchcliffe-Cliffside,"3,765"
Black Creek,"6,282"
Blake-Jones,"8,134"
Briar Hill-Belgravia,"7,791"
Bridle Path-Sunnybrook-York Mills,"1,040"
Broadview North,"6,764"
Brookhaven-Amesbury,"5,045"
"St. James Town, Cabbagetown","8,335"
Caledonia-Fairbank,"6,464"
Casa Loma,"5,683"
Centennial Scarborough,"2,479"
Church-Yonge Corridor,"23,044"
Clairlea-Birchmount,"3,632"
Clanton Park,"3,979"
Cliffcrest,"2,273"
Corso Italia-Davenport,"7,478"
Danforth,"8,554"
Danforth East York,"7,881"
Don Valley Village,"6,441"
Dorset Park,"4,146"
Dovercourt-Wallace Emerson-Junction,"9,819"
Downsview-Roding-CFB,"2,337"
Dufferin Grove,"8,540"
East End-Danforth,"8,038"
Edenbridge-Humber Valley,"2,840"
Eglinton East,"7,051"
Elms-Old Rexdale,"3,306"
Englemount-Lawrence,"6,466"
Eringate-Centennial-West Deane,"2,171"
Etobicoke West Mall,"6,582"
Flemingdon Park,"9,026"
Forest Hill North,"8,054"
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park","4,380"
Glenfield-Jane Heights,"5,864"
Greenwood-Coxwell,"8,582"
Guildwood,"2,673"
Henry Farm,"6,047"
High Park North,"11,726"
High Park-Swansea,"4,893"
Highland Creek,"2,403"
Hillcrest Village,"3,148"
Humber Heights-Westmount,"3,981"
Humber Summit,"1,570"
Humbermede,"3,565"
Humewood-Cedarvale,"7,682"
Ionview,"7,031"
Islington-City Centre West,"2,712"
Junction Area,"5,442"
Keelesdale-Eglinton West,"6,467"
Kennedy Park,"4,770"
Kensington-Chinatown,"11,806"
Kingsview Village-The Westway,"4,356"
Kingsway South,"3,593"
Lambton Baby Point,"4,697"
L'Amoreaux,"6,144"
Lansing-Westgate,"3,038"
Lawrence Park North,"6,407"
Lawrence Park South,"4,685"
Leaside-Bennington,"3,596"
"Little Portugal, Trinity","12,859"
Long Branch,"4,584"
Malvern,"4,948"
Maple Leaf,"4,012"
Markland Wood,"3,614"
Milliken,"2,830"
Mimico (includes Humber Bay Shores),"4,915"
Morningside,"3,041"
Moss Park,"14,753"
"Del Ray, Mount Dennis, Keelsdale and Silverthorn","6,442"
Mount Olive-Silverstone-Jamestown,"7,291"
Mount Pleasant East,"5,411"
Mount Pleasant West,"21,969"
New Toronto,"3,342"
Newtonbrook East,"3,926"
Newtonbrook West,"5,070"
Niagara,"10,156"
North Riverdale,"6,770"
St. James Town,"44,321"
Oakridge,"7,444"
Oakwood Village,"9,511"
O'Connor-Parkview,"3,780"
Old East York,"3,997"
Palmerston-Little Italy,"9,601"
Parkwoods-Donalda,"4,691"
Pelmo Park-Humberlea,"2,547"
Playter Estates-Danforth,"8,671"
Pleasant View,"5,273"
Princess-Rosethorn,"2,138"
Regent Park,"16,880"
Rexdale-Kipling,"4,229"
Rockcliffe-Smythe,"4,414"
Roncesvalles,"9,851"
Rosedale-Moore Park,"4,500"
Rouge,"1,260"
Runnymede-Bloor West Village,"6,333"
Rustic,"4,734"
Scarborough Village,"5,395"
South Parkdale,"9,583"
South Riverdale,"3,136"
St.Andrew-Windfields,"2,430"
Steeles,"5,436"
Stonegate-Queensway,"3,199"
Tam O'Shanter-Sullivan,"5,073"
Taylor-Massey,"15,528"
The Beaches,"6,058"
Thistletown-Beaumond Heights,"3,130"
Thorncliffe Park,"6,787"
Trinity-Bellwoods,"9,570"
University,"5,395"
"Commerce Court, Victoria Hotel","3,710"
Waterfront Communities-The Island,"8,943"
West Hill,"2,856"
West Humber-Clairville,"1,117"
Westminster-Branson,"7,339"
Weston,"7,197"
Weston-Pelham Park,"7,601"
Wexford/Maryvale,"2,724"
Willowdale South,"10,087"
Willowdale West,"5,820"
Willowridge-Martingrove-Richview,"4,007"
Woburn,"4,345"
Woodbine Corridor,"7,838"
Woodbine-Lumsden,"6,722"
Wychwood,"8,541"
Yonge-Eglinton,"7,162"
Yonge-St.Clair,"10,708"
York University Heights,"2,086"
Yorkdale-Glen Park,"2,451"
